carat,depth,table,x,y,z,cut_code,color_code,clarity_code,price
0.23,61.5,55.0,3.95,3.98,2.43,4,5,1,326
0.21,59.8,61.0,3.89,3.84,2.31,3,5,2,326
0.23,56.9,65.0,4.05,4.07,2.31,1,5,4,327
0.29,62.4,58.0,4.2,4.23,2.63,3,1,3,334
0.31,63.3,58.0,4.34,4.35,2.75,1,0,1,335
0.24,62.8,57.0,3.94,3.96,2.48,2,0,5,336
0.24,62.3,57.0,3.95,3.98,2.47,2,1,6,336
0.26,61.9,55.0,4.07,4.11,2.53,2,2,2,337
0.22,65.1,61.0,3.87,3.78,2.49,0,5,3,337
0.23,59.4,61.0,4.0,4.05,2.39,2,2,4,338
0.3,64.0,55.0,4.25,4.28,2.73,1,0,2,339
0.23,62.8,56.0,3.93,3.9,2.46,4,0,4,340
0.22,60.4,61.0,3.88,3.84,2.33,3,4,2,342
0.31,62.2,54.0,4.35,4.37,2.71,4,0,1,344
0.2,60.2,62.0,3.79,3.75,2.27,3,5,1,345
0.32,60.9,58.0,4.38,4.42,2.68,3,5,0,345
0.3,62.0,54.0,4.31,4.34,2.68,4,1,1,348
0.3,63.4,54.0,4.23,4.29,2.7,1,0,2,351
0.3,63.8,56.0,4.23,4.26,2.71,1,0,2,351
0.3,62.7,59.0,4.21,4.27,2.66,2,0,2,351
0.3,63.3,56.0,4.26,4.3,2.71,1,1,1,351
0.23,63.8,55.0,3.85,3.92,2.48,2,5,3,352
0.23,61.0,57.0,3.94,3.96,2.41,2,2,4,353
0.31,59.4,62.0,4.39,4.43,2.62,2,0,2,353
0.31,58.1,62.0,4.44,4.47,2.59,2,0,2,353
0.23,60.4,58.0,3.97,4.01,2.41,2,3,5,354
0.24,62.5,57.0,3.97,3.94,2.47,3,1,4,355
0.3,62.2,57.0,4.28,4.3,2.67,2,0,3,357
0.23,60.5,61.0,3.96,3.97,2.4,2,6,3,357
0.23,60.9,57.0,3.96,3.99,2.42,2,4,4,357
0.23,60.0,57.0,4.0,4.03,2.41,2,4,4,402
0.23,59.8,57.0,4.04,4.06,2.42,2,4,4,402
0.23,60.7,59.0,3.97,4.01,2.42,2,5,4,402
0.23,59.5,58.0,4.01,4.06,2.4,2,5,4,402
0.23,61.9,58.0,3.92,3.96,2.44,2,6,4,402
0.23,58.2,59.0,4.06,4.08,2.37,1,4,4,402
0.23,64.1,59.0,3.83,3.85,2.46,1,5,4,402
0.31,64.0,54.0,4.29,4.31,2.75,1,2,2,402
0.26,60.8,59.0,4.13,4.16,2.52,2,6,3,403
0.33,61.8,55.0,4.49,4.51,2.78,4,1,1,403
0.33,61.2,56.0,4.49,4.5,2.75,4,1,1,403
0.33,61.1,56.0,4.49,4.55,2.76,4,0,2,403
0.26,65.2,56.0,3.99,4.02,2.61,1,6,3,403
0.26,58.4,63.0,4.19,4.24,2.46,1,6,4,403
0.32,63.1,56.0,4.34,4.37,2.75,1,2,1,403
0.29,62.4,58.0,4.24,4.26,2.65,3,4,2,403
0.32,61.8,55.0,4.35,4.42,2.71,2,2,1,403
0.32,63.8,56.0,4.36,4.38,2.79,1,2,1,403
0.25,63.3,60.0,4.0,4.03,2.54,2,5,3,404
0.29,60.7,60.0,4.33,4.37,2.64,2,2,1,404
0.24,60.9,61.0,4.02,4.03,2.45,2,4,2,404
0.23,61.9,54.0,3.93,3.95,2.44,4,3,4,404
0.32,60.9,55.0,4.45,4.48,2.72,4,1,2,404
0.22,61.6,58.0,3.93,3.89,2.41,3,5,3,404
0.22,59.3,62.0,3.91,3.88,2.31,3,6,3,404
0.3,61.0,59.0,4.3,4.33,2.63,4,1,1,405
0.3,59.3,61.0,4.43,4.38,2.61,3,0,1,405
0.3,62.6,57.0,4.25,4.28,2.67,2,1,2,405
0.3,63.0,57.0,4.28,4.32,2.71,2,1,2,405
0.3,63.2,55.0,4.25,4.29,2.7,1,1,2,405
0.35,60.9,57.0,4.54,4.59,2.78,4,1,4,552
0.3,62.6,59.0,4.23,4.27,2.66,3,6,2,552
0.3,62.5,57.0,4.29,4.32,2.69,4,6,2,552
0.3,62.1,56.0,4.3,4.33,2.68,4,6,2,552
0.42,61.5,59.0,4.78,4.84,2.96,3,1,1,552
0.28,61.4,56.0,4.19,4.22,2.58,4,3,5,553
0.32,62.0,55.3,4.39,4.42,2.73,4,1,6,553
0.31,63.3,57.0,4.33,4.3,2.73,2,3,2,553
0.31,61.8,58.0,4.35,4.32,2.68,3,3,2,553
0.24,60.7,58.0,4.01,4.03,2.44,3,5,6,553
0.24,61.5,60.0,3.97,4.0,2.45,2,6,6,553
0.3,63.1,56.0,4.29,4.27,2.7,2,2,2,554
0.3,62.9,59.0,4.28,4.24,2.68,3,2,2,554
0.3,62.5,57.0,4.29,4.25,2.67,3,2,2,554
0.3,63.7,57.0,4.28,4.26,2.72,1,2,2,554
0.26,59.2,60.0,4.19,4.22,2.49,2,4,5,554
0.26,59.9,58.0,4.15,4.23,2.51,2,5,5,554
0.26,62.4,54.0,4.08,4.13,2.56,2,6,5,554
0.26,62.8,60.0,4.01,4.05,2.53,2,6,5,554
0.26,62.6,59.0,4.06,4.09,2.55,2,5,6,554
0.26,63.4,59.0,4.0,4.04,2.55,2,5,6,554
0.26,62.1,60.0,4.03,4.12,2.53,2,6,6,554
0.26,62.9,58.0,4.02,4.06,2.54,4,5,5,554
0.38,61.6,56.0,4.65,4.67,2.87,4,1,1,554
0.26,57.9,60.0,4.22,4.25,2.45,1,5,6,554
0.24,62.3,59.0,3.95,3.92,2.45,3,3,6,554
0.24,61.2,58.0,4.01,3.96,2.44,3,2,6,554
0.24,60.8,59.0,4.02,4.0,2.44,3,2,6,554
0.24,60.7,58.0,4.07,4.04,2.46,3,2,5,554
0.32,62.9,58.0,4.35,4.33,2.73,3,1,2,554
0.7,62.5,57.0,5.7,5.72,3.57,4,5,2,2757
0.86,55.1,69.0,6.45,6.33,3.52,0,5,1,2757
0.7,61.6,56.0,5.7,5.67,3.5,4,3,3,2757
0.71,62.4,57.0,5.68,5.73,3.56,2,5,3,2759
0.78,63.8,56.0,5.81,5.85,3.72,2,3,1,2759
0.7,57.5,58.0,5.85,5.9,3.38,1,5,3,2759
0.7,59.4,62.0,5.71,5.76,3.4,1,4,4,2759
0.96,66.3,62.0,6.27,5.95,4.07,0,4,1,2759
0.73,61.6,59.0,5.77,5.78,3.56,2,5,2,2760
0.8,61.5,58.0,5.97,5.93,3.66,3,2,2,2760
0.75,63.2,56.0,5.8,5.75,3.65,2,6,2,2760
0.75,59.9,54.0,6.0,5.96,3.58,3,5,2,2760
0.74,61.6,55.0,5.8,5.85,3.59,4,3,2,2760
0.75,61.7,58.0,5.85,5.79,3.59,3,3,3,2760
0.8,62.9,56.0,5.94,5.87,3.72,4,1,4,2760
0.75,62.2,55.0,5.87,5.8,3.63,4,3,2,2760
0.8,63.0,59.0,5.9,5.81,3.69,3,3,2,2760
0.74,62.3,55.0,5.77,5.81,3.61,4,1,5,2761
0.81,58.8,57.0,6.14,6.11,3.6,4,4,1,2761
0.59,62.0,55.0,5.38,5.43,3.35,4,5,5,2761
0.8,61.4,57.0,5.96,6.0,3.67,4,4,1,2761
0.74,62.2,56.0,5.8,5.84,3.62,4,5,1,2761
0.9,63.0,58.0,6.16,6.12,3.87,3,1,3,2761
0.74,62.2,59.0,5.73,5.82,3.59,2,3,2,2762
0.73,62.6,56.0,5.77,5.74,3.6,4,4,3,2762
0.73,62.7,53.0,5.8,5.75,3.62,4,4,3,2762
0.8,61.7,58.0,5.98,5.94,3.68,3,4,1,2762
0.71,62.4,54.0,5.72,5.76,3.58,4,3,3,2762
0.7,60.7,58.0,5.73,5.76,3.49,4,5,3,2762
0.8,59.9,59.0,6.01,6.07,3.62,4,4,1,2762
0.71,62.3,56.0,5.73,5.69,3.56,4,6,1,2762
0.74,62.3,54.0,5.8,5.83,3.62,4,5,2,2762
0.7,61.7,63.0,5.64,5.61,3.47,2,4,3,2762
0.7,64.5,57.0,5.57,5.53,3.58,0,4,3,2762
0.7,65.3,55.0,5.63,5.58,3.66,0,4,3,2762
0.7,61.6,60.0,5.65,5.59,3.46,3,4,3,2762
0.91,61.4,56.0,6.09,5.97,3.7,3,2,2,2763
0.61,59.6,57.0,5.56,5.58,3.32,2,6,5,2763
0.91,64.4,57.0,6.11,6.09,3.93,0,2,1,2763
0.91,65.7,60.0,6.03,5.99,3.95,0,2,1,2763
0.77,62.0,56.0,5.89,5.86,3.64,4,2,3,2763
0.71,63.6,58.0,5.64,5.68,3.6,2,6,2,2764
0.71,61.9,59.0,5.69,5.72,3.53,4,6,2,2764
0.7,62.6,60.0,5.62,5.65,3.53,2,5,3,2765
0.77,61.3,60.0,5.88,5.9,3.61,2,2,4,2765
0.63,60.9,60.0,5.52,5.55,3.37,3,5,6,2765
0.71,60.1,62.0,5.74,5.77,3.46,2,4,4,2765
0.71,61.8,59.0,5.69,5.73,3.53,3,4,4,2765
0.76,61.2,57.0,5.88,5.91,3.61,4,2,2,2765
0.64,61.9,56.0,5.53,5.56,3.43,4,3,6,2766
0.71,60.9,57.0,5.78,5.75,3.51,3,3,3,2766
0.71,59.8,56.0,5.89,5.81,3.5,3,3,3,2766
0.7,61.8,55.0,5.68,5.72,3.52,2,6,3,2767
0.7,60.0,57.0,5.8,5.87,3.5,2,4,4,2767
0.71,61.6,55.0,5.74,5.76,3.54,4,6,1,2767
0.7,62.1,64.0,5.62,5.65,3.5,1,2,5,2767
0.71,63.3,59.0,5.52,5.61,3.52,2,3,4,2768
0.73,60.2,56.0,5.83,5.87,3.52,2,6,2,2768
0.7,61.1,58.0,5.66,5.73,3.48,2,6,2,2768
0.7,60.9,57.0,5.73,5.76,3.5,4,5,2,2768
0.71,61.7,59.0,5.71,5.67,3.51,3,6,1,2768
0.74,61.3,56.0,5.82,5.86,3.57,4,1,2,2769
0.71,62.5,60.0,5.65,5.61,3.52,3,6,3,2770
0.73,61.4,59.0,5.83,5.76,3.56,3,3,3,2770
0.76,62.9,57.0,5.79,5.81,3.65,2,4,2,2770
0.76,62.4,57.0,5.78,5.83,3.62,4,6,1,2770
0.71,60.7,56.0,5.77,5.8,3.51,4,4,2,2770
